,Tech_rep,Condition,Family,Time,Lib_prep_date,TruSeq_kit,LogConc,Sample_ID,Sample_name
DP47_GGCTAC_TechRep1,Rep1,Control,DA,28d,12_15_2020,B,0.62,DA135,DA135_28d_Control
DP47_GGCTAC_TechRep2,Rep2,Control,DA,28d,12_15_2020,B,0.62,DA135,DA135_28d_Control
DP48_TAGCTT_TechRep1,Rep1,Control,DA,28d,12_15_2020,B,0.04,DA137,DA137_28d_Control
DP48_TAGCTT_TechRep2,Rep2,Control,DA,28d,12_15_2020,B,0.04,DA137,DA137_28d_Control
DP53_TAGCTT_TechRep1,Rep1,Control,DA,28d,12_15_2020,B,0,DA149,DA149_28d_Control
DP53_TAGCTT_TechRep2,Rep2,Control,DA,28d,12_15_2020,B,0,DA149,DA149_28d_Control
DCS2015_P9_DA155_AGTTCC,NA,Control,DA,28d,12_17_2020,A,0,DA155,DA155_28d_Control
DCS2015_P10_DA157_TGACCA,NA,Control,DA,28d,12_17_2020,A,0,DA157,DA157_28d_Control
DCS2015_P11_DA174_AGTTCC,NA,Control,DA,28d,12_17_2020,A,0,DA174,DA174_28d_Control
DP21_ATCACG_TechRep1,Rep1,Injected,DA,28d,12_15_2020,B,4.37,DA17,DA17_28d_Injected
DP21_ATCACG_TechRep2,Rep2,Injected,DA,28d,12_15_2020,B,4.37,DA17,DA17_28d_Injected
DP24_ATCACG_TechRep1,Rep1,Injected,DA,28d,12_15_2020,B,4.19,DA25,DA25_28d_Injected
DP24_ATCACG_TechRep2,Rep2,Injected,DA,28d,12_15_2020,B,4.19,DA25,DA25_28d_Injected
DP28_ATCACG_TechRep1,Rep1,Injected,DA,28d,12_15_2020,B,4.74,DA37,DA37_28d_Injected
DP28_ATCACG_TechRep2,Rep2,Injected,DA,28d,12_15_2020,B,4.74,DA37,DA37_28d_Injected
DCS2015_P9_DA49_TGACCA,NA,Injected,DA,28d,12_17_2020,A,3.73,DA49,DA49_28d_Injected
DCS2015_P11_DA60_TGACCA,NA,Injected,DA,28d,12_17_2020,A,3.86,DA60,DA60_28d_Injected
DP45_TAGCTT_TechRep1,Rep1,Control,DA,36h,12_15_2020,B,0.33,DA129,DA129_36h_Control
DP45_TAGCTT_TechRep2,Rep2,Control,DA,36h,12_15_2020,B,0.33,DA129,DA129_36h_Control
DP51_GGCTAC_TechRep1,Rep1,Control,DA,36h,12_15_2020,B,0,DA143,DA143_36h_Control
DP51_GGCTAC_TechRep2,Rep2,Control,DA,36h,12_15_2020,B,0,DA143,DA143_36h_Control
DP54_ACTGAT_TechRep1,Rep1,Control,DA,36h,12_15_2020,B,0.27,DA152,DA152_36h_Control
DP54_ACTGAT_TechRep2,Rep2,Control,DA,36h,12_15_2020,B,0.27,DA152,DA152_36h_Control
DCS2015_P10_DA176_CGATGT,NA,Control,DA,36h,12_17_2020,A,-0.1,DA176,DA176_36h_Control
DCS2015_P12_DA180_AGTCAA,NA,Control,DA,36h,12_17_2020,A,0,DA180,DA180_36h_Control
DP23_TTAGGC_TechRep1,Rep1,Injected,DA,36h,12_15_2020,B,6.43,DA21,DA21_36h_Injected
DP23_TTAGGC_TechRep2,Rep2,Injected,DA,36h,12_15_2020,B,6.43,DA21,DA21_36h_Injected
DP30_GTGGCC_TechRep1,Rep1,Injected,DA,36h,12_15_2020,B,4.32,DA43,DA43_36h_Injected
DP30_GTGGCC_TechRep2,Rep2,Injected,DA,36h,12_15_2020,B,4.32,DA43,DA43_36h_Injected
DCS2015_P9_DA56_CGATGT,NA,Injected,DA,36h,12_17_2020,A,5.37,DA56,DA56_36h_Injected
DCS2015_P11_DA59_CGATGT,NA,Injected,DA,36h,12_17_2020,A,5.26,DA59,DA59_36h_Injected
DCS2015_P12_DA69_CGATGT,NA,Injected,DA,36h,12_17_2020,A,5.53,DA69,DA69_36h_Injected
DP49_ATTCCT_TechRep1,Rep1,Control,DA,7d,12_15_2020,B,1.64,DA139,DA139_7d_Control
DP49_ATTCCT_TechRep2,Rep2,Control,DA,7d,12_15_2020,B,1.64,DA139,DA139_7d_Control
DP52_ATTCCT_TechRep1,Rep1,Control,DA,7d,12_15_2020,B,0,DA147,DA147_7d_Control
DP52_ATTCCT_TechRep2,Rep2,Control,DA,7d,12_15_2020,B,0,DA147,DA147_7d_Control
DP55_GGCTAC_TechRep1,Rep1,Control,DA,7d,12_15_2020,B,0,DA153,DA153_7d_Control
DP55_GGCTAC_TechRep2,Rep2,Control,DA,7d,12_15_2020,B,0,DA153,DA153_7d_Control
DCS2015_P9_DA159_AGTCAA,NA,Control,DA,7d,12_17_2020,A,0,DA159,DA159_7d_Control
DCS2015_P11_DA170_AGTCAA,NA,Control,DA,7d,12_17_2020,A,0,DA170,DA170_7d_Control
DCS2015_P12_DA179_AGTTCC,NA,Control,DA,7d,12_17_2020,A,0,DA179,DA179_7d_Control
DP25_GTTTCG_TechRep1,Rep1,Injected,DA,7d,12_15_2020,B,5.41,DA28,DA28_7d_Injected
DP25_GTTTCG_TechRep2,Rep2,Injected,DA,7d,12_15_2020,B,5.41,DA28,DA28_7d_Injected
DP29_GTTTCG_TechRep1,Rep1,Injected,DA,7d,12_15_2020,B,4.05,DA41,DA41_7d_Injected
DP29_GTTTCG_TechRep2,Rep2,Injected,DA,7d,12_15_2020,B,4.05,DA41,DA41_7d_Injected
