,Condition,Time,Sample
SRR2002821,Time0,Time0,Time0
SRR2002822,Time0,Time0,Time0
SRR2002823,Time0,Time0,Time0
SRR2002844,control,6h,6h_control
SRR2002845,control,6h,6h_control
SRR2002846,control,6h,6h_control
SRR2002864,OsHV1,6h,6h_OsHV-1
SRR2002934,OsHV1,6h,6h_OsHV-1
SRR2002935,OsHV1,6h,6h_OsHV-1
SRR2002936,control,12h,12h_control
SRR2002938,control,12h,12h_control
SRR2002940,OsHV1,12h,12h_OsHV-1
SRR2002941,OsHV1,12h,12h_OsHV-1
SRR2002942,OsHV1,12h,12h_OsHV-1
SRR2002943,control,24h,24h_control
SRR2002944,control,24h,24h_control
SRR2002945,control,24h,24h_control
SRR2002947,OsHV1,24h,24h_OsHV-1
SRR2002948,OsHV1,24h,24h_OsHV-1
SRR2002949,OsHV1,24h,24h_OsHV-1
SRR2002950,control,48h,48h_control
SRR2002951,control,48h,48h_control
SRR2002952,control,48h,48h_control
SRR2002953,OsHV1,48h,48h_OsHV-1
SRR2002954,OsHV1,48h,48h_OsHV-1
SRR2002955,OsHV1,48h,48h_OsHV-1
SRR2002956,control,120hr,120h_control
SRR2002957,control,120hr,120h_control
SRR2002958,control,120hr,120h_control
SRR2002959,OsHV1,120hr,120h_OsHV-1
SRR2002961,OsHV1,120hr,120h_OsHV-1
SRR2002962,OsHV1,120hr,120h_OsHV-1
