Transcript,log2FoldChange,padj,Protein.names,Protein.Transcript.Names,Significance,Challenge,Type
transcript:EKC41180,-21.19036084,0.023584069,IAP 2 ,IAP 2 (EKC41180),Significant,Bacteria,IAP
transcript:EKC24074,-1.006855703,0.838218945,BIR-containing protein 2,BIR-containing protein 2 (EKC24074),Non_significant,Bacteria,IAP
transcript:EKC38724,-0.291581391,0.999958613,BIR-containing protein 7,BIR-containing protein 7 (EKC38724),Non_significant,Bacteria,IAP
transcript:EKC42441,-8.98293215,0.09231131,BIR-containing protein 7-B,BIR-containing protein 7-B(EKC42441),Non_significant,Bacteria,IAP
transcript:EKC25493,-0.602007802,0.999958613,BIR-containing protein 7-B,BIR-containing protein 7-B (EKC25493),Non_significant,Bacteria,IAP
transcript:EKC42449,-0.667546915,0.999958613,BIR-containing protein 7-A,BIR-containing protein 7-A (EKC42449),Non_significant,Bacteria,IAP
transcript:EKC18369,-0.313884169,0.999958613,BIR-containing protein 3,BIR-containing protein 3 (EKC18369),Non_significant,Bacteria,IAP
transcript:EKC20239,0.058053645,0.999958613,BIR-containing protein 6,BIR-containing protein 6 (EKC20239),Non_significant,Bacteria,IAP
transcript:EKC17690,1.215242653,0.999958613,Putative IAP,Putative IAP (EKC17690),Non_significant,Bacteria,IAP
transcript:EKC34022,-0.623956975,0.999958613,IAP 1,IAP 1 (EKC34022),Non_significant,Bacteria,IAP
transcript:EKC26454,-0.102240207,0.999958613,Putative IAP ORF42,Putative IAP ORF42 (EKC26454),Non_significant,Bacteria,IAP
transcript:EKC42442,-0.748449163,0.963306266,IAP 2,IAP 2 (transcript:EKC42442),Non_significant,Bacteria,IAP
transcript:EKC18368,-6.082224503,0.934329472,IAP 2,IAP 2 (EKC18368),Non_significant,Bacteria,IAP
transcript:EKC41181,-0.249023614,0.999958613,IAP 2,IAP 2 (EKC41181),Non_significant,Bacteria,IAP
transcript:EKC26950,-0.765640378,0.97274663,Putative IAP,Putative IAP (EKC26950),Non_significant,Bacteria,IAP
transcript:EKC40820,0.136985579,0.999958613,GIMAP 4,GIMAP 4 (EKC40820),Non_significant,Bacteria,GIMAP
transcript:EKC41832,-0.341288394,0.999958613,GIMAP 4,GIMAP 4 (EKC41832),Non_significant,Bacteria,GIMAP
transcript:EKC41613,-0.186634934,0.999958613,GIMAP 4,GIMAP 4 (EKC41613),Non_significant,Bacteria,GIMAP
transcript:EKC35292,1.526972313,0.999958613,GIMAP 4,GIMAP 4 (EKC35292),Non_significant,Bacteria,GIMAP
transcript:EKC36405,0.220639817,0.999958613,GIMAP 4,GIMAP 4 (EKC36405),Non_significant,Bacteria,GIMAP
transcript:EKC30713,0.243919052,0.999958613,GIMAP 7,GIMAP 7 (EKC30713),Non_significant,Bacteria,GIMAP
transcript:EKC40465,0.33626344,0.999958613,GIMAP 4,GIMAP 4 (EKC40465),Non_significant,Bacteria,GIMAP
transcript:EKC42724,0.903937071,0.661648391,GIMAP 7,GIMAP 7 (EKC42724),Non_significant,Bacteria,GIMAP
transcript:EKC38639,1.949481048,0.999958613,GIMAP 4,GIMAP 4 (EKC38639),Non_significant,Bacteria,GIMAP
