Transcript,log2FoldChange,padj,Protein.names,Protein.Transcript.Names,Significance,Challenge,Type
transcript:EKC39736,0.088631624,0.999294431,GIMAP 4,GIMAP 4 (EKC39736),Non significant,OsHV1,GIMAP
transcript:EKC404651,0.189851313,0.964869295,GIMAP 4,GIMAP 4 (EKC404651),Non significant,OsHV1,GIMAP
transcript:EKC408201,0.300984354,0.873162361,GIMAP 4,GIMAP 4 (EKC408201),Non significant,OsHV1,GIMAP
transcript:EKC32489,1.014947137,0.916559928,GIMAP 4,GIMAP 4 (EKC32489),Non significant,OsHV1,GIMAP
transcript:EKC364051,0.11628316,0.998284466,GIMAP 4,GIMAP 4 (EKC364051),Non significant,OsHV1,GIMAP
transcript:EKC39748,0.82603183,0.638034412,GIMAP 4,GIMAP 4 (EKC39748),Non significant,OsHV1,GIMAP
transcript:EKC27363,-1.251766819,0.301382322,GIMAP 4,GIMAP 4 (EKC27363),Non significant,OsHV1,GIMAP
transcript:EKC31739,0.05026223,0.999294431,GIMAP 1,GIMAP 1 (EKC31739),Non significant,OsHV1,GIMAP
transcript:EKC352921,0.674986213,0.772877004,GIMAP 4,GIMAP 4 (EKC352921),Non significant,OsHV1,GIMAP
transcript:EKC29604,1.423018157,0.61737584,GIMAP 8,GIMAP 8 (EKC29604),Non significant,OsHV1,GIMAP
transcript:EKC416131,0.064442019,0.998284466,GIMAP 4,GIMAP 4 (EKC416131),Non significant,OsHV1,GIMAP
transcript:EKC427241,0.366386656,0.674231328,GIMAP 7,GIMAP 7 (EKC427241),Non significant,OsHV1,GIMAP
transcript:EKC386391,0.469515301,0.279848487,GIMAP 4,GIMAP 4 (EKC386391),Non significant,OsHV1,GIMAP
transcript:EKC32934,-0.463675195,0.997083578,BIR-containing protein 7-B,BIR-containing protein 7-B (EKC32934),Non_significant,OsHV1,IAP
transcript:EKC387241,-0.474496128,0.694204315,BIR-containing protein 7,BIR-containing protein 7 (EKC387241),Non_significant,OsHV1,IAP
transcript:EKC34718,3.764809306,0.755435125,BIR-containing protein 7-B,BIR-containing protein 7-B (EKC34718),Non_significant,OsHV1,IAP
transcript:EKC30031,1.159018843,0.911088447,BIR-containing protein 3,BIR-containing protein 3 (EKC30031),Non_significant,OsHV1,IAP
transcript:EKC24792,0.625773647,0.890463017,BIR-containing protein 5,BIR-containing protein 5 (EKC24792),Non_significant,OsHV1,IAP
transcript:EKC20773,-3.263337699,0.200957981,BIR-containing protein 3 (Fragment),BIR-containing protein 3 (Fragment) (EKC20773),Non_significant,OsHV1,IAP
transcript:EKC183691,4.936838752,0.502361975,BIR-containing protein 3,BIR-containing protein 3 (EKC183691),Non_significant,OsHV1,IAP
transcript:EKC202391,-0.187558895,0.941063735,BIR-containing protein 6,BIR-containing protein 6 (EKC202391),Non_significant,OsHV1,IAP
transcript:EKC424411,-0.330758418,0.990185944,BIR-containing protein 7-B,BIR-containing protein 7-B (EKC424411),Non_significant,OsHV1,IAP
transcript:EKC37539,-0.560611298,0.979646244,BIR-containing protein 2,BIR-containing protein 2 (EKC37539),Non_significant,OsHV1,IAP
transcript:EKC254931,0.509871606,0.878337145,BIR-containing protein 7-B,BIR-containing protein 7-B (EKC254931),Non_significant,OsHV1,IAP
transcript:EKC42443,0.558817719,0.896401192,BIR-containing protein 3 (Fragment),BIR-containing protein 3 (Fragment) (EKC42443),Non_significant,OsHV1,IAP
transcript:EKC183681,5.807272333,0.58916399,IAP 2,IAP 2 (EKC183681),Non_significant,OsHV1,IAP
transcript:EKC25955,-0.05319354,0.998284466,TP53-regulated IAP 1,TP53-regulated IAP 1 (EKC25955),Non_significant,OsHV1,IAP
transcript:EKC411801,-0.081278514,0.999294431,IAP 2,IAP 2 (EKC411801),Non_significant,OsHV1,IAP
transcript:EKC411811,-0.335115339,0.993150825,IAP 1,IAP 1 (EKC411811),Non_significant,OsHV1,IAP
transcript:EKC33184,-1.129776978,0.934687923,IAP 3,IAP 3 (EKC33184),Non_significant,OsHV1,IAP
transcript:EKC29824,-1.174829464,0.959640105,IAP 1,IAP 1 (EKC29824),Non_significant,OsHV1,IAP
transcript:EKC176901,-2.393325263,0.233388661,Putative IAP,Putative IAP (EKC176901),Non_significant,OsHV1,IAP
transcript:EKC34720,0.737279959,0.886445631,Putative IAP,Putative IAP (EKC34720),Non_significant,OsHV1,IAP
transcript:EKC340221,0.375824422,0.994375553,IAP 1,IAP 1 (EKC340221),Non_significant,OsHV1,IAP
transcript:EKC264541,0.526324843,0.827822468,Putative IAP ORF42,Putative IAP ORF42 (EKC264541),Non_significant,OsHV1,IAP
transcript:EKC269501,-1.997510286,0.067325166,Putative IAP,Putative IAP (EKC269501),Non_significant,OsHV1,IAP
transcript:EKC424421,1.123499829,0.145241595,IAP 2,IAP 2 (EKC424421),Non_significant,OsHV1,IAP
transcript:EKC240741,-2.142548314,0.000144528,BIR-containing protein 2,BIR-containing protein 2 (EKC240741),Significant,OsHV1,IAP
transcript:EKC424491,-2.211895704,0.000337195,BIR-containing protein 7-A,BIR-containing protein 7-A (EKC424491),Significant,OsHV1,IAP
transcript:EKC20774,-23.46409192,1.71E-08,IAP,IAP (EKC20774),Significant,OsHV1,IAP
transcript:EKC418321,-3.191727551,0.010063161,GIMAP 4,GIMAP 4 (EKC418321),Significant,OsHV1,GIMAP
transcript:EKC307131,-2.291361856,7.37E-06,GIMAP 7,GIMAP 7 (EKC307131),Significant,OsHV1,GIMAP
