sampleID,expCat,lifeStage,tissue,condition,stressorLevel,bioprojectID,sePE,selection,numberBases,illuminaInstrument,contrastID,contrastCondition
SRR2002844,OsHV1,Adult,gill,OsHV1_Sw_inj_control,6h_SW1,PRJNA282703,SE,RANDOM,997.3M,Genome_Analyzer,control,control
SRR2002845,OsHV1,Adult,gill,OsHV1_Sw_inj_control,6h_SW2,PRJNA282703,SE,RANDOM,856.9M,Genome_Analyzer,control,control
SRR2002846,OsHV1,Adult,gill,OsHV1_Sw_inj_control,6h_SW3,PRJNA282703,SE,RANDOM,1.2G,Genome_Analyzer,control,control
SRR2002864,OsHV1,Adult,gill,OsHV1_inj,6h_inj1,PRJNA282703,SE,RANDOM,727.1M,Genome_Analyzer,SRR2002844,6h_control1
SRR2002934,OsHV1,Adult,gill,OsHV1_inj,6h_inj2,PRJNA282703,SE,RANDOM,1G,Genome_Analyzer,SRR2002845,6h_control2
SRR2002935,OsHV1,Adult,gill,OsHV1_inj,6h_inj3,PRJNA282703,SE,RANDOM,1G,Genome_Analyzer,SRR2002846,6h_control3
SRR2002936,OsHV1,Adult,gill,OsHV1_Sw_inj_control,12h_SW1,PRJNA282703,SE,RANDOM,507.6M,Genome_Analyzer,control,control
SRR2002938,OsHV1,Adult,gill,OsHV1_Sw_inj_control,12h_SW2,PRJNA282703,SE,RANDOM,939.1M,Genome_Analyzer,control,control
SRR2002939,OsHV1,Adult,gill,OsHV1_Sw_inj_control,12h_SW3,PRJNA282703,SE,RANDOM,1.1G,Genome_Analyzer,control,control
SRR2002940,OsHV1,Adult,gill,OsHV1_inj,12h_inj1,PRJNA282703,SE,RANDOM,865.7M,Genome_Analyzer,SRR2002936,12h_SW1
SRR2002941,OsHV1,Adult,gill,OsHV1_inj,12h_inj2,PRJNA282703,SE,RANDOM,729.9M,Genome_Analyzer,SRR2002938,12h_SW2
SRR2002942,OsHV1,Adult,gill,OsHV1_inj,12h_inj3,PRJNA282703,SE,RANDOM,534.6M,Genome_Analyzer,SRR2002939,12h_SW3
SRR2002943,OsHV1,Adult,gill,OsHV1_Sw_inj_control,24h_SW1,PRJNA282703,SE,RANDOM,1.2G,Genome_Analyzer,control,control
SRR2002944,OsHV1,Adult,gill,OsHV1_Sw_inj_control,24h_SW2,PRJNA282703,SE,RANDOM,789.7M,Genome_Analyzer,control,control
SRR2002945,OsHV1,Adult,gill,OsHV1_Sw_inj_control,24h_SW3,PRJNA282703,SE,RANDOM,644.4M,Genome_Analyzer,control,control
SRR2002947,OsHV1,Adult,gill,OsHV1_inj,24h_inj1,PRJNA282703,SE,RANDOM,627.5M,Genome_Analyzer,SRR2002943,24h_SW1
SRR2002948,OsHV1,Adult,gill,OsHV1_inj,24h_inj2,PRJNA282703,SE,RANDOM,694.4M,Genome_Analyzer,SRR2002944,24h_SW2
SRR2002949,OsHV1,Adult,gill,OsHV1_inj,24h_inj3,PRJNA282703,SE,RANDOM,Ê509.8M,Genome_Analyzer,SRR2002945,24h_SW3
SRR2002950,OsHV1,Adult,gill,OsHV1_Sw_inj_control,48h_SW1,PRJNA282703,SE,RANDOM,794.9M,Genome_Analyzer,control,control
SRR2002951,OsHV1,Adult,gill,OsHV1_Sw_inj_control,48h_SW2,PRJNA282703,SE,RANDOM,Ê255.7M,Genome_Analyzer,control,control
SRR2002952,OsHV1,Adult,gill,OsHV1_Sw_inj_control,48h_SW3,PRJNA282703,SE,RANDOM,786.7M,Genome_Analyzer,control,control
SRR2002953,OsHV1,Adult,gill,OsHV1_inj,48h_inj1,PRJNA282703,SE,RANDOM,422.9M,Genome_Analyzer,SRR2002950,48h_SW1
SRR2002954,OsHV1,Adult,gill,OsHV1_inj,48h_inj2,PRJNA282703,SE,RANDOM,508.3M,Genome_Analyzer,SRR2002951,48h_SW2
SRR2002955,OsHV1,Adult,gill,OsHV1_inj,48h_inj3,PRJNA282703,SE,RANDOM,672.9M,Genome_Analyzer,SRR2002952,48h_SW3
SRR2002956,OsHV1,Adult,gill,OsHV1_Sw_inj_control,120_SW1,PRJNA282703,SE,RANDOM,772.2M,Genome_Analyzer,control,control
SRR2002957,OsHV1,Adult,gill,OsHV1_Sw_inj_control,120_SW2,PRJNA282703,SE,RANDOM,824.2M,Genome_Analyzer,control,control
SRR2002958,OsHV1,Adult,gill,OsHV1_Sw_inj_control,120_SW3,PRJNA282703,SE,RANDOM,841.2M,Genome_Analyzer,control,control
SRR2002959,OsHV1,Adult,gill,OsHV1_inj,120h_inj3,PRJNA282703,SE,RANDOM,1.1G,Genome_Analyzer,SRR2002956,120h_SW1
SRR2002961,OsHV1,Adult,gill,OsHV1_inj,120h_inj2,PRJNA282703,SE,RANDOM,1.2G,Genome_Analyzer,SRR2002957,120h_SW2
SRR2002962,OsHV1,Adult,gill,OsHV1_inj,120h_inj3,PRJNA282703,SE,RANDOM,851.4M,Genome_Analyzer,SRR2002958,120h_SW3
SRR2601482_1,interaction,Larvae_trochopore,NA,trochopore_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,5.9G,2000,SRR2601703,Larvae_trochopore_control
SRR2601571_1,warmed,Larvae_early_veliger,NA,EV_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,4.8G,2000,SRR2601707,Larvae_EV_control
SRR2601666_1,control,Larvae_late_veliger,NA,LV_control,control,PRJNA298285,PE,RANDOM,5.1G,2000,control,control
SRR2601689_1,acidified,Larvae_trochopore,NA,trochopore_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,5.3G,2000,SRR2601701,Larvae_trochopore_control
SRR2601690_1,interaction,Larvae_early_veliger,NA,EV_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,5.7G,2000,SRR2601707,Larvae_EV_control
SRR2601692_1,warmed,Larvae_late_veliger,NA,LV_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,5.8G,2000,SRR2601716,Larvae_LV_control
SRR2601694_1,acidified,Larvae_early_veliger,NA,EV_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,4G,2000,SRR2601698,Larvae_EV_control
SRR2601695_1,interaction,Larvae_late_veliger,NA,LV_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,5.6G,2000,SRR2601666,Larvae_LV_control
SRR2601696_1,warmed,Larvae_trochopore,NA,trochopore_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,6.6G,2000,SRR2601701,Larvae_trochopore_control
SRR2601698_1,control,Larvae_early_veliger,NA,EV_control,control,PRJNA298285,PE,RANDOM,5G,2000,control,control
SRR2601699_1,acidified,Larvae_late_veliger,NA,LV_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,9G,2000,SRR2601716,Larvae_LV_control
SRR2601701_1,control,Larvae_trochopore,NA,trochopore_control,control,PRJNA298285,PE,RANDOM,6.5G,2000,control,control
SRR2601702_1,warmed,Larvae_late_veliger,NA,LV_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,3.6G,2000,SRR2601666,Larvae_LV_control
SRR2601703_1,control,Larvae_trochopore,NA,trochopore_control,control,PRJNA298285,PE,RANDOM,4.8G,2000,control,control
SRR2601704_1,acidified,Larvae_early_veliger,NA,EV_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,4.6G,2000,SRR2601698,Larvae_EV_control
SRR2601705_1,interaction,Larvae_late_veliger,NA,LV_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,4G,2000,SRR2601716,Larvae_LV_control
SRR2601706_1,acidified,Larvae_trochopore,NA,trochopore_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,4.9G,2000,SRR2601703,Larvae_trochopore_control
SRR2601707_1,control,Larvae_early_veliger,NA,EV_control,control,PRJNA298285,PE,RANDOM,4.2G,2000,control,control
SRR2601709_1,warmed,Larvae_trochopore,NA,trochopore_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,4.6G,2000,SRR2601703,Larvae_trochopore_control
SRR2601711_1,acidified,Larvae_late_veliger,NA,LV_acidified,20C_pH_7.9,PRJNA298285,PE,RANDOM,5.5G,2000,SRR2601666,Larvae_LV_control
SRR2601712_1,interaction,Larvae_early_veliger,NA,EV_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,4.4G,2000,SRR2601698,Larvae_EV_control
SRR2601714_1,interaction,Larvae_trochopore,NA,trochopore_interaction,22C_pH_7.9,PRJNA298285,PE,RANDOM,3.8G,2000,SRR2601703,Larvae_trochopore_control
SRR2601716_1,control,Larvae_late_veliger,NA,LV_control,control,PRJNA298285,PE,RANDOM,4.1G,2000,control,control
SRR2601718_1,warmed,Larvae_early_veliger,NA,EV_warmed,22C_pH_8.1,PRJNA298285,PE,RANDOM,4.2G,2000,SRR2601707,Larvae_EV_control
SRR3286754,heat_shock,adult,mantle,heat_shock,1hr_heat_shock_40C_3,PRJNA316154,SE,PolyA,2.3G,2500,SRR3288136,heat_shock_control_2
SRR3288136,heat_shock,adult,mantle,heat_shock_control,control,PRJNA316154,SE,PolyA,2.9G,2500,control,control
SRR3288139,heat_shock,adult,mantle,heat_shock,1hr_heat_shock_40C_2,PRJNA316154,SE,PolyA,1.9G,2500,SRR3288141,heat_shock_control_2
SRR3288141,heat_shock,adult,mantle,heat_shock_control,control,PRJNA316154,SE,PolyA,2.4G,2500,control,control
SRR3288143,heat_shock,adult,mantle,heat_shock,1hr_heat_shock_40C_1,PRJNA316154,SE,PolyA,1.9G,2500,SRR3288145,heat_shock_control
SRR3288145,heat_shock,adult,mantle,heat_shock_control,control,PRJNA316154,SE,PolyA,2.4G,2500,control,control
SRR334215_1,metal_env_control,Adult,gills,Adult_gill_no_stress,control,PRJNA146329,PE,cDNA,3.5GÊ,2000,control,control
SRR334217_1,metal_env_control,adult,adductor_muscle,Adult_AM_no_stress,control,PRJNA146329,PE,cDNA,3.5G,2000,control,control
SRR334262,warmed,Adult,gills,temp_inc_12h,5_å¼C_12h,PRJNA146329,SE,cDNA,845.4M,2000,SRR334215,Adult_gill_no_stress
SRR334263,warmed,Adult,gills,temp_inc_12h,10_å¼C_12h,PRJNA146329,SE,cDNA,Ê808.8M,2000,SRR334215,Adult_gill_no_stress
SRR334264,warmed,Adult,gills,temp_inc_12h,15_å¼C_12h,PRJNA146329,SE,cDNA,753.5M,2000,SRR334215 Adult_gill_no_stress,
SRR334265,warmed,Adult,gills,temp_inc_12h,20_å¼C_12h,PRJNA146329,SE,cDNA,773M,2000,SRR334215,Adult_gill_no_stress
SRR334266,warmed,Adult,gills,temp_inc_12h,25_å¼C_12h,PRJNA146329,SE,cDNA,897.1M,2000,SRR334215,Adult_gill_no_stress
SRR334267,warmed,Adult,gills,temp_inc_12h,30_å¼C_12h,PRJNA146329,SE,cDNA,848.4M,2000,SRR334215,Adult_gill_no_stress
SRR334268,warmed,Adult,gills,temp_inc_12h,35 å¼C_12h,PRJNA146329,SE,cDNA,863.1M,2000,SRR334215,Adult_gill_no_stress
SRR334269,salinity,Adult,gills,salinity_increase,5ppt_12h,PRJNA146329,SE,cDNA,896.8M,2000,SRR334215,Adult_gill_no_stress
SRR334270,salinity,Adult,gills,salinity_increase,10ppt_12h,PRJNA146329,SE,cDNA,801.4M,2000,SRR334215,Adult_gill_no_stress
SRR334271,salinity,Adult,gills,salinity_increase,15ppt_12h,PRJNA146329,SE,cDNA,737.8M,2000,SRR334215,Adult_gill_no_stress
SRR334272,salinity,Adult,gills,salinity_increase,20ppt_12h,PRJNA146329,SE,cDNA,756.2M,2000,SRR334215,Adult_gill_no_stress
SRR334273,salinity,Adult,gills,salinity_increase,25ppt_12h,PRJNA146329,SE,cDNA,763.5M,2000,SRR334215,Adult_gill_no_stress
SRR334274,salinity,Adult,gills,salinity_increase,30ppt_12h,PRJNA146329,SE,cDNA,724.8M,2000,SRR334215,Adult_gill_no_stress
SRR334275,salinity,Adult,gills,salinity_increase,40ppt_12h,PRJNA146329,SE,cDNA,716.5M,2000,SRR334215,Adult_gill_no_stress
SRR334276,air,Adult,gills,air_exposure,1d,PRJNA146329,SE,cDNA,843.7M,2000,SRR334215,Adult_gill_no_stress
SRR334277,air,Adult,gills,air_exposure,3d,PRJNA146329,SE,cDNA,895.8M,2000,SRR334215,Adult_gill_no_stress
SRR334278,air,Adult,gills,air_exposure,5d,PRJNA146329,SE,cDNA,805.1M,2000,SRR334215,Adult_gill_no_stress
SRR334279,air,Adult,gills,air_exposure,7d,PRJNA146329,SE,cDNA,814M,2000,SRR334215,Adult_gill_no_stress
SRR334280,air,Adult,gills,air_exposure,9d,PRJNA146329,SE,cDNA,847.2M,2000,SRR334215,Adult_gill_no_stress
SRR334281,air,Adult,gills,air_exposure,10d,PRJNA146329,SE,cDNA,884.9M,2000,SRR334215,Adult_gill_no_stress
SRR334282,air,Adult,gills,air_exposure,11d,PRJNA146329,SE,cDNA,950.9M,2000,SRR334215,Adult_gill_no_stress
SRR334283,air,Adult,adductor_muscle,air_exposure,0d,PRJNA146329,SE,cDNA,922.6M,2000,SRR334217,Adult_AM_no_stress
SRR334284,air,Adult,adductor_muscle,air_exposure,1d,PRJNA146329,SE,cDNA,764.6M,2000,SRR334217,Adult_AM_no_stress
SRR334285,air,Adult,adductor_muscle,air_exposure,3d,PRJNA146329,SE,cDNA,900.8M,2000,SRR334217,Adult_AM_no_stress
SRR334286,air,Adult,adductor_muscle,air_exposure,5d,PRJNA146329,SE,cDNA,752.6MÊ,2000,SRR334217,Adult_AM_no_stress
SRR334287,air,Adult,adductor_muscle,air_exposure,7d,PRJNA146329,SE,cDNA,789.6M,2000,SRR334217,Adult_AM_no_stress
SRR334288,air,Adult,adductor_muscle,air_exposure,9d,PRJNA146329,SE,cDNA,Ê820.2M,2000,SRR334217,Adult_AM_no_stress
SRR334289,air,Adult,adductor_muscle,air_exposure,10d,PRJNA146329,SE,cDNA,748.8M,2000,SRR334217,Adult_AM_no_stress
SRR334290,air,Adult,adductor_muscle,air_exposure,11d,PRJNA146329,SE,cDNA,818.4M,2000,SRR334217,Adult_AM_no_stress
SRR334291,heavy_metal,Adult,gills,Zinc,1mg/L_12h,PRJNA146329,SE,cDNA,782.2M,2000,SRR334312,Adult_gills_control
SRR334292,heavy_metal,Adult,gills,Plumbum,500ug/L_12,PRJNA146329,SE,cDNA,803.2M,2000,SRR334312,Adult_gills_control
SRR334293,heavy_metal,Adult,gills,Cu,100ug/L_12h,PRJNA146329,SE,cDNA,825.3M,2000,SRR334312,Adult_gills_control
SRR334294,heavy_metal,Adult,gills,Hydrargyrum,100ug/L_12h,PRJNA146329,SE,cDNA,840.6M,2000,SRR334312,Adult_gills_control
SRR334295,heavy_metal,Adult,gills,Cd,100ug/L_12h,PRJNA146329,SE,cDNA,833.2M,2000,SRR334312,Adult_gills_control
SRR334296,heavy_metal,Adult,gills,Zinc_Cd,Zn_500ë_g/L_Cd_50ë_g/L_12h,PRJNA146329,SE,cDNA,Ê734M,2000,SRR334312,Adult_gills_control
SRR334297,heavy_metal,Adult,digestive_gland,Plumbum (500 ug/L) for 12 hours,500ug/L_12,PRJNA146329,SE,cDNA,756.9M,2000,SRR334313,Adult_DG_control
SRR334298,heavy_metal,Adult,digestive_gland,Cu,100ug/L_12h,PRJNA146329,SE,cDNA,779.3M,2000,SRR334313,Adult_DG_control
SRR334299,heavy_metal,Adult,digestive_gland,Hydrargyrum,100ug/L_12h,PRJNA146329,SE,cDNA,827.4M,2000,SRR334313,Adult_DG_control
