sampleID,condition,time(h)
SRR2002844,control,6
SRR2002845,control,6
SRR2002846,control,6
SRR2002864,treatment,6
SRR2002934,treatment,6
SRR2002935,treatment,6
SRR2002936,control,12
SRR2002938,control,12
SRR2002939,control,12
SRR2002940,treatment,12
SRR2002941,treatment,12
SRR2002942,treatment,12
SRR2002943,control,24
SRR2002944,control,24
SRR2002945,control,24
SRR2002947,treatment,24
SRR2002948,treatment,24
SRR2002949,treatment,24
SRR2002950,control,48
SRR2002951,control,48
SRR2002952,control,48
SRR2002953,treatment,48
SRR2002954,treatment,48
SRR2002955,treatment,48
SRR2002956,control,120
SRR2002957,control,120
SRR2002958,control,120
SRR2002959,treatment,120
SRR2002961,treatment,120
SRR2002962,treatment,120
