"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.11041.1",447.898960068642,-1.36405917120637,0.269952276267969,-5.05296413893664,4.35005598188575e-07,0.0025252826521016
"transcript:EKC33371",74.8715216800267,0.7658507177945,0.182925839104806,4.18667325262733,2.83072875636632e-05,0.0230928065757898
"transcript:EKC36487",40.1335998752277,1.10344327508546,0.231974594932133,4.75674189843196,1.96742451691955e-06,0.00571189135350482
"transcript:EKC24074",1117.20715148717,-2.14254831413266,0.362329541028384,-5.91325870932732,3.35404733686715e-09,0.000144528219674405
"transcript:EKC34152",283.106948070917,-1.36997519824871,0.286908927545637,-4.77494795985671,1.79753731461862e-06,0.00544494250450701
"MSTRG.4825.3",30.1804557943225,24.6084111134004,2.93342309020152,8.38897436772744,4.90401600005637e-17,2.62492508248982e-09
"MSTRG.25931.3",38.772100389132,-2.76534815028352,0.611818976611866,-4.51987966374871,6.18747914436297e-06,0.0104816952068592
"MSTRG.18409.1",40.1514814440427,0.962293458839118,0.238376005254416,4.03687215838722,5.41685670648793e-05,0.0325545184607415
"MSTRG.4510.1",10.3009161704394,-4.24313298807339,0.926883774406318,-4.577847951639,4.69783951596593e-06,0.00910051959097797
"transcript:EKC20400",174.788550967746,-2.75787165312327,0.561264418243393,-4.91367627000954,8.93842955137098e-07,0.00364248724578497
"MSTRG.28252.1",218.881798874515,-1.25701357191374,0.227377934411251,-5.52830060299617,3.23347659381882e-08,0.000551717573766536
"transcript:EKC41215",173.394201742256,0.849347216985526,0.19377391642951,4.38318651258978,1.16955900313145e-05,0.0146389226177962
"MSTRG.18426.3",34.5014858173692,-2.34715706423165,0.483027997348474,-4.85925676589369,1.17827241273314e-06,0.00423279069711946
"transcript:EKC18546",43.9977660480331,2.34685866975148,0.339371750160929,6.91530355322328,4.66862588398571e-12,2.41654285604196e-06
"transcript:EKC39730",14.7723697493136,-1.82602160907652,0.475462513656579,-3.84051645845508,0.000122775740147998,0.0480807410656467
"MSTRG.20659.15",34.9775264833036,1.1455613953592,0.253179857149509,4.52469405843261,6.04829343415012e-06,0.0103690123344129
"MSTRG.29636.1",110.825611864527,-3.37908249855245,0.437380704738165,-7.72572375037741,1.11219593320571e-14,5.77448927671334e-08
"MSTRG.14113.7",43.0510892402896,-9.17999346822706,1.77122368028583,-5.18285384867123,2.18516266752699e-07,0.00173045556678407
"MSTRG.24949.1",252.961001998663,-2.89717566269697,0.40896677108278,-7.08413462303162,1.39915844291691e-12,1.12385348033264e-06
"MSTRG.7290.1",7.42748773556424,-2.72392448540815,0.707281397395545,-3.85125990226604,0.000117511704368329,0.0469607784723145
"MSTRG.5699.1",161.958219307073,-2.67191148481679,0.472792340632066,-5.65134257726081,1.59199447026001e-08,0.000369510321079349
"MSTRG.7932.1",829.949742610206,-0.67764349802427,0.114067468215045,-5.94072533236862,2.83763715128153e-09,0.000131567847224602
"MSTRG.4707.1",305.334752420251,-3.00547296178496,0.682255171662036,-4.40520363438705,1.05684551186223e-05,0.0139036763486428
"transcript:EKC31369",199.330797187779,-2.73926499647998,0.469135357942222,-5.83896513043756,5.25260605361226e-09,0.000190393747170125
"transcript:EKC31368",59.5836330454076,0.817362155915874,0.210659926983184,3.88000778136185,0.000104453123101841,0.044061504194097
"MSTRG.33533.1",58.8062322663549,-1.03912933578625,0.254989368948297,-4.07518689925049,4.59774053811418e-05,0.0298139076530275
"MSTRG.25657.1",179.41761054207,-0.795113618667116,0.173091992021051,-4.59358985579425,4.3568528829124e-06,0.00877097440130211
"transcript:EKC37224",5112.57630748051,-0.537488257072111,0.122060883787671,-4.40344392399361,1.06545833156535e-05,0.0139513815446984
"transcript:EKC24995",57.1137607773636,-1.42898442648322,0.364372012712894,-3.92177328835951,8.78996778155847e-05,0.0405744931261373
"MSTRG.23904.1",30.2124989355732,-5.25083852243524,0.67307344853114,-7.80128607642188,6.12794176505351e-15,4.25063711562146e-08
"transcript:EKC24144",273.84759270489,-1.4157924335103,0.168060058579853,-8.42432428903146,3.62838058496604e-17,2.2221424250229e-09
"MSTRG.24742.1",15.0483925120488,-1.30252743306934,0.313402817671238,-4.15608079961712,3.23753367008566e-05,0.0246908428472417
"transcript:EKC40141",57.6845863462949,-1.48508673004624,0.282050940762035,-5.26531386860079,1.39950048628302e-07,0.00132549128742385
