"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"transcript:EKC36484",126.150018448218,-21.5294468908165,5.28668475999254,-4.07239089679462,4.65329989275541e-05,0.0216490657973106
"transcript:EKC23303",62.6260913587819,-20.5532369677923,5.28687985467488,-3.88759297217966,0.000101243213498639,0.026087514004354
"MSTRG.27290.2",91.8794636252795,-21.0843809691286,5.28675649263421,-3.98815057937783,6.65903935165077e-05,0.0240605548308919
"MSTRG.44573.8",683.961853415127,-12.174661806254,3.16484960258558,-3.84683739673054,0.000119652320780125,0.0275977491877118
"MSTRG.44573.6",304.00864021881,-11.0049857917998,2.82914467402962,-3.88986321301312,0.00010030074257473,0.026087514004354
"MSTRG.5182.25",74.808182124447,-20.7959625818665,5.28681678049092,-3.93355083887273,8.3700125694974e-05,0.0250461811631451
"MSTRG.30682.235",42.7549523076564,-20.026477732522,5.28705989120561,-3.78782880175684,0.000151969501372422,0.0298921058787607
"MSTRG.14830.5",88.1203608752774,-20.474017199377,5.2867678725989,-3.87269078059829,0.000107640358367779,0.026504698109506
"MSTRG.14830.7",49.1128202167775,-20.2055701829984,5.28698646271839,-3.82175561172316,0.000132504971738662,0.0285798497048883
"MSTRG.3718.7",282.562866488006,-22.6420768601704,5.28657829935649,-4.28293606526674,1.84443182808326e-05,0.0156115387431838
"MSTRG.3718.1",193.934658212119,-22.1018344606063,5.28661754011953,-4.18071371588318,2.90595541714837e-05,0.0182510428183169
"transcript:EKC36744",209.782551315022,-10.4693722228078,2.0532887726707,-5.09883089127807,3.41757698306737e-07,0.0019022094223315
"MSTRG.35547.9",57.090285877312,-19.654513815861,5.28691754477307,-3.71757525049591,0.000201144082850933,0.0335718238564712
"MSTRG.33312.1",76.83782452895,-20.8339090117114,5.28680817088546,-3.94073481357695,8.12323897669075e-05,0.0247596545469458
"MSTRG.42021.3",434.376406745935,-22.1689893202263,5.28654829358439,-4.19347144660155,2.74717670295819e-05,0.0176815713618026
"MSTRG.42021.2",192.437364806491,-22.1154343791463,5.28661851676716,-4.18328546101907,2.87326234851214e-05,0.0181821835485105
"MSTRG.52175.3",48.0168534460081,-20.0707636667096,5.28699776242031,-3.79624969947433,0.000146901537881945,0.0296641918301153
"MSTRG.52303.2",19.9794951329289,-18.959221656416,5.28770693107337,-3.58552807550691,0.000336396808801314,0.0407753358438975
"MSTRG.48779.4",177.60225099096,-21.1501449756897,5.28662906182395,-4.00068639739075,6.31590142262617e-05,0.0238569642558287
"MSTRG.2160.2",60.38275844899,-20.5060244419971,5.28689428562163,-3.87865225483433,0.000105036777805042,0.0263339464463828
"MSTRG.23899.2",33.3342625219949,-19.6811371230297,5.28722036491917,-3.72239773730909,0.000197339842445476,0.0333359723451353
"MSTRG.5308.2",171.587092735205,-10.1796962062587,2.42948530065446,-4.19006289254621,2.78877146732986e-05,0.0178477517050048
"MSTRG.5308.9",18.4122596246839,-18.8599666469261,5.287810092684,-3.56668759209412,0.000361522040287248,0.0416209638070474
"MSTRG.17454.10",1789.24899406551,-25.2191401067541,5.28650599158992,-4.77047413676901,1.83792784304292e-06,0.00518561375524896
