,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MSTRG.43179,60.21806519,2.448781884,0.354957762,6.898797961,5.24E-12,0.000501798
MSTRG.19846,268.2886259,-1.182727885,0.195570462,-6.047579342,1.47E-09,0.004357295
MSTRG.38305,330.783856,3.524807682,0.499589736,7.05540452,1.72E-12,0.000317497
MSTRG.20696,54.75522925,1.575496142,0.310456748,5.074768554,3.88E-07,0.030116723
MSTRG.16051,236.5473709,2.675598042,0.486127718,5.503899375,3.71E-08,0.013909762
MSTRG.16052,125.1527978,2.969189437,0.619540615,4.792566243,1.65E-06,0.048587403
MSTRG.57453,14.69842814,4.261333521,0.567901977,7.503642692,6.21E-14,8.72E-05
MSTRG.18797,21.15021916,2.528773105,0.498381719,5.073968419,3.90E-07,0.030116723
MSTRG.30937,163.4818226,-0.682280787,0.124234876,-5.491861942,3.98E-08,0.014252794
MSTRG.16625,73.18094575,-0.713127666,0.13354661,-5.339915907,9.30E-08,0.01932431
MSTRG.48958,251.893672,2.230605613,0.31925681,6.986869318,2.81E-12,0.000386718
MSTRG.636,148.6233224,3.24182767,0.404284169,8.018685661,1.07E-15,1.84E-05
MSTRG.36946,38.26924185,3.022074518,0.429668155,7.033508258,2.01E-12,0.000339489
MSTRG.18522,431.6158862,-0.698229195,0.145855616,-4.787125899,1.69E-06,0.04885189
MSTRG.17749,15.93768486,2.84105031,0.580011848,4.898262542,9.67E-07,0.041312546
MSTRG.4080,6.635600113,-21.81417987,2.934754813,-7.433050206,1.06E-13,0.000108332
MSTRG.18793,275.4395145,1.059429441,0.207631285,5.102455741,3.35E-07,0.029348547
MSTRG.14620,1120.665492,2.02158383,0.317212309,6.372967787,1.85E-10,0.002050669
MSTRG.33513,28.85827375,-1.203302298,0.227359372,-5.29251241,1.21E-07,0.021107158
MSTRG.26616,31.76248639,5.678131018,0.737594344,7.698175926,1.38E-14,4.91E-05
MSTRG.6056,184.3612063,1.043943917,0.213894327,4.880652656,1.06E-06,0.042498797
MSTRG.15996,621.8283371,2.733992101,0.4671233,5.852827516,4.83E-09,0.006713417
MSTRG.56273,202.2968372,0.417070447,0.084652474,4.926854792,8.36E-07,0.039133677
MSTRG.43857,281.3643482,1.259470802,0.222816564,5.652500783,1.58E-08,0.010298791
MSTRG.58382,14.35547623,-1.186507485,0.230625467,-5.14473749,2.68E-07,0.027332945
MSTRG.5748,337.0829131,1.276759985,0.260992716,4.891937243,9.98E-07,0.041739948
MSTRG.6210,103.2066333,-0.714739698,0.147678039,-4.839850965,1.30E-06,0.045422584
MSTRG.37436,217.2574631,1.161813449,0.224789072,5.168460535,2.36E-07,0.026348916
MSTRG.37258,1248.704604,3.142479254,0.396377516,7.927995725,2.23E-15,2.40E-05
MSTRG.20874,39.54571598,-1.683383524,0.277631228,-6.063379602,1.33E-09,0.004192481
MSTRG.52622,112.576392,-0.816352631,0.163419082,-4.995454749,5.87E-07,0.034862659
MSTRG.38779,157.3267415,1.138177767,0.2360301,4.822172115,1.42E-06,0.046420053
MSTRG.33788,99.99799254,1.735756727,0.337097279,5.149127085,2.62E-07,0.027301052
MSTRG.55770,142.6116105,2.644830295,0.420606678,6.288131956,3.21E-10,0.002512501
MSTRG.4790,14.17683604,2.937011292,0.501891148,5.851889013,4.86E-09,0.006713417
MSTRG.50614,1011.766806,1.545703568,0.314282227,4.918202285,8.73E-07,0.039756376
MSTRG.50610,86.66986308,5.29631677,0.976049948,5.426276373,5.75E-08,0.016127552
MSTRG.9367,1995.443869,3.195348215,0.395768149,8.073788206,6.82E-16,1.51E-05
MSTRG.49293,54.33363462,3.344710604,0.649619581,5.14872196,2.62E-07,0.027301052
MSTRG.58026,240.8142997,2.118755756,0.359460158,5.894271471,3.76E-09,0.006131181
MSTRG.58022,571.1918489,5.102986913,0.472353098,10.80333109,3.32E-27,4.07E-10
MSTRG.6625,9.383057361,-1.484094392,0.309185469,-4.800013394,1.59E-06,0.047960695
MSTRG.22031,63.77361441,3.17715293,0.441758001,7.192066524,6.38E-13,0.000216916
MSTRG.22030,729.0322465,2.352145097,0.402041028,5.850510098,4.90E-09,0.006713417
MSTRG.11293,111.8642278,2.323734252,0.274928043,8.452154349,2.86E-17,4.69E-06
MSTRG.11291,186.2598932,4.654104401,0.427822085,10.87859783,1.46E-27,2.95E-10
