"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.58111",16.6032036262887,0.0602962814174759,0.649494073958366,0.0928357683850724,0.926034034639633,0.997713133084858
"MSTRG.57556",9.02601213306564,0.00182139636688972,0.70992260615065,0.00256562666283542,0.997952928342727,0.999861944322783
"MSTRG.57557",21.2778691929403,-0.253652522112447,0.644149223656579,-0.393779131910713,0.693744112534924,0.983434650763036
"MSTRG.57550",102.02513241842,-0.260452662914504,0.397008567340059,-0.656037890213619,0.511799745244619,0.961109279011016
"MSTRG.57558",30.1894358397096,0.313658323615804,0.605468197589567,0.518042607133637,0.604428542283632,0.978652614476224
"MSTRG.56604",15.8331216475109,-1.74761692695469,0.73072812729981,-2.39161031533368,0.0167746420590165,0.22947950484816
"MSTRG.56606",33.9132669601658,0.0689262897424468,0.581287914986549,0.11857512940733,0.905611970171914,0.996075742322569
"MSTRG.56603",69.694756797116,-1.13944543830601,0.59146236327758,-1.92648849538251,0.0540434069971305,0.454836485742921
"MSTRG.56608",64.2375647780454,-0.0279943621822513,0.484012674599883,-0.0578380766689494,0.953877608134067,0.99947483791773
"MSTRG.20438",59.7372522651508,0.135773973123029,0.513250251336602,0.264537567725388,0.791365720637886,0.992503165740109
"MSTRG.43179",39.7709494517248,1.14109056855755,0.532361088677851,2.14345224101843,0.0320768021045262,0.340427248024977
"MSTRG.43178",2312.70010646035,0.397201388032654,0.28368069432427,1.4001706706859,0.161462216394656,0.725771924393341
"MSTRG.19848",20.152390600291,0.580000180878376,0.731649253552343,0.792729819735792,0.427935252738642,0.940586256425374
"MSTRG.19846",334.419784649714,-1.28587469169372,0.394709673773238,-3.25777343990929,0.00112290017166757,0.0326673712818531
"MSTRG.43177",37.886897524464,0.525265200502622,0.732961997101402,0.716633607990393,0.473600201616684,0.952500018308132
"MSTRG.19842",26.1516641405646,-0.154714519987545,0.644116885130535,-0.240196342556974,0.810178048916918,0.994566841841194
"MSTRG.19843",10772.0828733609,0.477724730493986,0.350257633288409,1.36392382375466,0.172591541883981,0.742597708485655
"MSTRG.43172",17.3482383402874,-0.748401643023881,0.694956856317301,-1.07690374765103,0.281523268669955,0.867941017183031
"MSTRG.15172",12.4757435978292,-0.0603652612630108,0.652756519408581,-0.0924774544078146,0.926318703226836,0.997713133084858
"MSTRG.15171",36.1033966194259,0.689304921259278,0.489304677992775,1.40874377920715,0.158910944631994,0.721577187094779
"MSTRG.32270",9.42349787402644,-1.46744360922413,0.705541160625293,-2.07988377024466,0.0375361950019761,0.373423615598099
"MSTRG.15177",83.4666397642883,0.146626460170352,0.453099904726678,0.323607351581327,0.746235321478152,0.991619868520391
"MSTRG.37305",202.487324050234,0.907122556249042,0.648568738096535,1.39865291520422,0.161917090151033,0.726428948384231
"MSTRG.10525",44.2590644112796,-0.316945977188237,0.513966721550393,-0.616666340248961,0.537454827227243,0.965859552779675
"MSTRG.10529",7.86259444193003,-0.353592720734961,0.706418297028739,-0.500542981718062,0.616692799293627,0.978781890070556
"MSTRG.5663",26.0531773178294,0.395103793118642,0.613437789294562,0.644081274440235,0.519522732380749,0.962371115417992
"MSTRG.5666",17.6601208547218,0.0759116046948034,0.73872420086747,0.102760413975421,0.918153123954724,0.997416037840814
"MSTRG.5667",16.1825570867032,0.766418735395921,0.67977534866661,1.12745885372169,0.259548527758289,0.851055151175143
