"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MSTRG.54609",919.65073137941,-3.58476297951728,1.2479646183563,-2.87248767055494,0.00407253970102581,0.0350380938015657
"MSTRG.43179",122.704217383507,3.32435591694322,0.639727881228662,5.19651560372585,2.03058564317876e-07,9.36622826910538e-06
"MSTRG.43178",1928.12022458216,1.06909482722326,0.314459502992382,3.39978540018602,0.000674387592346758,0.0089979346833379
"MSTRG.19846",162.435481275154,-1.13441799726861,0.430068971501872,-2.63775829562183,0.00834560420000167,0.0589781551858834
"MSTRG.37305",198.877666564171,3.93783360793228,0.732035087237053,5.37929626132402,7.4777566135477e-08,3.83156269584199e-06
"MSTRG.38305",776.159750795296,4.70107417137274,0.633118367112014,7.42526897903281,1.1255095395374e-13,1.72247681782581e-11
"MSTRG.38307",7.59410059273116,3.64058522707391,1.06594092272313,3.41537241836386,0.000636948600148245,0.00857742820475945
"MSTRG.38309",186.093378019329,1.57919227195626,0.498565193380789,3.16747396914674,0.00153769475699577,0.0170347977657791
"MSTRG.18714",307.693478104957,1.28802966957578,0.380428193296089,3.38573663117892,0.000709874771600573,0.00936864425866227
"MSTRG.6310",286.058905195472,1.21283059175209,0.386644572981856,3.13681007442719,0.00170796727691956,0.0185651062099408
"MSTRG.46733",683.317686035102,-1.82471863199228,0.329575270344605,-5.5365763034476,3.08441496678888e-08,1.72168467312861e-06
"MSTRG.202",36.1113013871646,-1.48264951154053,0.536523252144173,-2.76343943270909,0.00571957062697751,0.0452184596711677
"MSTRG.41747",48.9441456558841,1.78020572118387,0.449717790881963,3.95849521027981,7.54234533153062e-05,0.0015302551208634
"MSTRG.9992",107.644465972625,-2.34806902833588,0.64247382180082,-3.65473105465117,0.000257451715941556,0.00414595937539611
"MSTRG.23426",7.22458534330099,-3.947256500406,1.20020346850543,-3.288822773793,0.00100607352237386,0.0122675385218117
"MSTRG.26933",8.4507726956161,2.45287950818453,1.00911829085839,2.43071553692485,0.0150690402866729,0.0897038773788573
"MSTRG.20697",99.155347200803,1.46550847489978,0.497334094337972,2.94672834938171,0.00321155199020477,0.0293342904907676
"MSTRG.20696",94.8427773602451,1.71283567426559,0.528119850560405,3.24327076978463,0.00118165853855797,0.0139321159018041
"MSTRG.28090",15.2763418120324,-2.91012870772379,0.896221622338461,-3.24710834372702,0.001165840000827,0.0137666819515131
"MSTRG.28098",22.6590196565645,1.89288790499595,0.768990623924997,2.46152273656404,0.0138348628510962,0.0842894399224843
"MSTRG.17326",1095.99320420353,1.00728076626468,0.294448840281315,3.42090247427135,0.000624137094267424,0.00846430992454572
"MSTRG.16051",287.208898815112,2.43196346133277,0.603190707510654,4.03183177567406,5.53437974657745e-05,0.00118201461703936
"MSTRG.7056",30.5264575881153,-2.27625692407181,0.658072520065712,-3.4589758038286,0.00054223361345179,0.00756214639303404
"MSTRG.16587",262.621846595912,0.835810405303812,0.314897634696787,2.65422890873286,0.00794898824004294,0.0570531285214872
"MSTRG.11051",412.49554272285,2.45860142095506,0.54928403036617,4.47601110725188,7.60505299011228e-06,0.000220785388880031
"MSTRG.11050",114.783738645965,2.24509582476948,0.629379142642689,3.56715955877182,0.000360871761923174,0.00546486601984445
"MSTRG.51871",18.4216980095581,-3.36314853926612,0.848049725599374,-3.9657445050043,7.31672049639763e-05,0.00149497872635944
"MSTRG.51870",43.3228999117684,-2.3080195288928,0.543591069322253,-4.24587462735624,2.17742364577589e-05,0.000537586357160631
"MSTRG.27253",168.74927979461,-1.16448935591488,0.474423192194301,-2.45453716233578,0.0141066082948952,0.0853822972987779
"MSTRG.27255",539.414742625005,0.848567639121856,0.287658907309274,2.94990913738515,0.00317867396759288,0.0291607688436299
"MSTRG.57029",17.1455493573685,-3.87486396656704,1.23995724128905,-3.12499805439965,0.0017780623584652,0.0190935144246154
"MSTRG.50124",18.9578168805551,2.3458843644824,0.699205878794491,3.35506956624415,0.00079345028529801,0.0101979102574815
"MSTRG.33172",11.1143578397964,-3.33585612455315,1.25763209312592,-2.65248966115493,0.00799005748458454,0.0572356597679058
"MSTRG.17045",90.3317152479012,-2.27975838615817,0.535248797039636,-4.25924990166648,2.05114052828079e-05,0.000512984918485291
"MSTRG.44721",13.3253966760799,-4.69643564238495,1.16418572082207,-4.03409486853064,5.48131710196251e-05,0.00117284960101159
"MSTRG.40034",39.4244790273055,-1.33642673229047,0.554967617461082,-2.4081166003964,0.0160350587971195,0.0933620997083985
