Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO)
K1QXN5,K1QXN5_CRAGI,unreviewed,Uncharacterized protein,CGI_10024332,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1405,nucleic acid binding [GO:0003676]
K1QGB7,K1QGB7_CRAGI,unreviewed,D(2) dopamine receptor,CGI_10024330,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),481,integral component of membrane [GO:0016021]; G-protein coupled receptor activity [GO:0004930]
K1RCQ4,K1RCQ4_CRAGI,unreviewed,IgGFc-binding protein,CGI_10018893,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1262,
K1QJB7,K1QJB7_CRAGI,unreviewed,Potassium voltage-gated channel protein eag,CGI_10003384,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1470,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; phosphorelay sensor kinase activity [GO:0000155]; voltage-gated potassium channel activity [GO:0005249]
K1RBT3,K1RBT3_CRAGI,unreviewed,"ATP-dependent RNA helicase SUV3-like protein, mitochondrial",CGI_10024907,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),711,helicase activity [GO:0004386]
K1R6P9,K1R6P9_CRAGI,unreviewed,Uncharacterized protein,CGI_10005569,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),538,integral component of membrane [GO:0016021]
K1QF43,K1QF43_CRAGI,unreviewed,Prolyl 3-hydroxylase 1,CGI_10021146,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),519,"iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]"
K1PVA6,K1PVA6_CRAGI,unreviewed,TIMELESS-interacting protein,CGI_10006529,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),440,nucleus [GO:0005634]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; replication fork protection [GO:0048478]
K1P8R6,K1P8R6_CRAGI,unreviewed,Sperm receptor for egg jelly,CGI_10006886,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),878,
K1PG92,K1PG92_CRAGI,unreviewed,Tripartite motif-containing protein 45,CGI_10005758,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),483,
K1QTZ5,K1QTZ5_CRAGI,unreviewed,Transient receptor potential cation channel subfamily M member 2,CGI_10012157,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1573,integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]
