Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genomes_Transcript
K1QZ88,K1QZ88_CRAGI,unreviewed,Serine/threonine-protein kinase RIO3,CGI_10027024,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),576,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],EKC36484
K1PNP8,K1PNP8_CRAGI,unreviewed,SPT2-like protein,CGI_10010985,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),679,,EKC23303
K1QZW7,K1QZW7_CRAGI,unreviewed,Uncharacterized protein,CGI_10014215,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),925,protein dimerization activity [GO:0046983],EKC36744
K1Q419,K1Q419_CRAGI,unreviewed,Upstream stimulatory factor 2,CGI_10027128,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),308,protein dimerization activity [GO:0046983],EKC26144
K1PVS9,K1PVS9_CRAGI,unreviewed,Proline-rich transmembrane protein 1,CGI_10006075,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),279,integral component of membrane [GO:0016021]; response to biotic stimulus [GO:0009607],EKC20400
K1QTC6,K1QTC6_CRAGI,unreviewed,Uncharacterized protein,CGI_10027111,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),136,,EKC36918
K1P4D1,K1P4D1_CRAGI,unreviewed,Mitochondrial inner membrane protein OXA1L,CGI_10011906,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),429,integral component of membrane [GO:0016021]; protein insertion into membrane [GO:0051205],EKC18542
K1QTW6,K1QTW6_CRAGI,unreviewed,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Eukaryotic translation initiation factor 3 subunit 5),CGI_10023726,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),276,eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex [GO:0005852]; translation initiation factor activity [GO:0003743]; formation of translation preinitiation complex [GO:0001731]; regulation of translational initiation [GO:0006446],EKC40292
K1R5Q2,K1R5Q2_CRAGI,unreviewed,Patatin-like phospholipase domain-containing protein 7,CGI_10024691,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1348,integral component of membrane [GO:0016021]; lysophospholipase activity [GO:0004622]; lipid catabolic process [GO:0016042]; phosphatidylcholine metabolic process [GO:0046470],EKC36525
K1PV79,K1PV79_CRAGI,unreviewed,Importin subunit alpha,CGI_10013575,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),536,cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein transporter activity [GO:0008565]; protein import into nucleus [GO:0006606],EKC25623
K1QH76,K1QH76_CRAGI,unreviewed,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",CGI_10016546,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),497,,EKC30484
K1S6W3,K1S6W3_CRAGI,unreviewed,Patched domain-containing protein 3,CGI_10027279,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),852,integral component of membrane [GO:0016021],EKC43181
K1PLL9,K1PLL9_CRAGI,unreviewed,Mps one binder kinase activator-like 2,CGI_10001013,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),246,kinase activity [GO:0016301],EKC17360
K1QTP7,K1QTP7_CRAGI,unreviewed,Peptidylprolyl isomerase (EC 5.2.1.8),CGI_10021133,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),187,peptidyl-prolyl cis-trans isomerase activity [GO:0003755],EKC34569
K1PWK7,K1PWK7_CRAGI,unreviewed,Kinesin-like protein KIF13A (Fragment),CGI_10005525,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1490,intracellular [GO:0005622]; microtubule motor activity [GO:0003777]; plus-end-directed vesicle transport along microtubule [GO:0072383],EKC20730
K1PU52,K1PU52_CRAGI,unreviewed,Dachshund-like protein 1,CGI_10023953,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),538,,EKC27827
K1QG26,K1QG26_CRAGI,unreviewed,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,CGI_10012289,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),498,membrane [GO:0016020],EKC27780
K1PY28,K1PY28_CRAGI,unreviewed,Sarcoplasmic calcium-binding protein,CGI_10006807,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),179,calcium ion binding [GO:0005509],EKC29122
K1QKI3,K1QKI3_CRAGI,unreviewed,Putative malate dehydrogenase 1B,CGI_10018565,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),539,"malate dehydrogenase activity [GO:0016615]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; carbohydrate metabolic process [GO:0005975]; malate metabolic process [GO:0006108]",EKC37252
