Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genome_Transcript
K1RPC5,K1RPC5_CRAGI,unreviewed,Regulation of nuclear pre-mRNA domain-containing protein 2,CGI_10024188,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),975,,EKC36261
K1R4W5,K1R4W5_CRAGI,unreviewed,Hexosyltransferase (EC 2.4.1.-),CGI_10024187,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),791,Golgi cisterna membrane [GO:0032580]; acetylgalactosaminyltransferase activity [GO:0008376],EKC36260
K1Q2Z8,K1Q2Z8_CRAGI,unreviewed,ATP-grasp domain-containing protein 1,CGI_10019704,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),944,ATP binding [GO:0005524]; ATPase activity [GO:0016887]; carnosine synthase activity [GO:0047730]; metal ion binding [GO:0046872]; carnosine biosynthetic process [GO:0035499],EKC30812
K1RGW2,K1RGW2_CRAGI,unreviewed,"Serine/threonine-protein kinase PINK1, mitochondrial",CGI_10025899,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),600,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],EKC33376
K1Q9R3,K1Q9R3_CRAGI,unreviewed,GEM-interacting protein,CGI_10014639,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1975,GTPase activator activity [GO:0005096]; signal transduction [GO:0007165],EKC18151
K1RGV7,K1RGV7_CRAGI,unreviewed,Diphosphomevalonate decarboxylase,CGI_10025894,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),918,"cytosol [GO:0005829]; ATP binding [GO:0005524]; diphosphomevalonate decarboxylase activity [GO:0004163]; isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]",EKC33371
K1P9S4,K1P9S4_CRAGI,unreviewed,"Iron-sulfur cluster assembly 1-like protein, mitochondrial",CGI_10014646,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),128,iron-sulfur cluster binding [GO:0051536]; structural molecule activity [GO:0005198]; protein maturation by iron-sulfur cluster transfer [GO:0097428],EKC18158
K1QS40,K1QS40_CRAGI,unreviewed,Cathepsin B,CGI_10027022,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),341,cysteine-type endopeptidase activity [GO:0004197]; regulation of catalytic activity [GO:0050790],EKC36483
K1QI81,K1QI81_CRAGI,unreviewed,Uncharacterized protein,CGI_10027027,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),515,,EKC36487
K1RQ52,K1RQ52_CRAGI,unreviewed,Uncharacterized protein,CGI_10027026,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),312,,EKC36486
K1R5K3,K1R5K3_CRAGI,unreviewed,Uncharacterized protein,CGI_10027025,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),347,regulation of apoptotic process [GO:0042981],EKC36485
K1QS48,K1QS48_CRAGI,unreviewed,Putative ATP-dependent DNA helicase HFM1,CGI_10027028,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1057,ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676],EKC36488
K1QP27,K1QP27_CRAGI,unreviewed,Uncharacterized protein,CGI_10010988,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),675,,EKC23306
K1Q359,K1Q359_CRAGI,unreviewed,Uncharacterized protein,CGI_10028568,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),167,,EKC30887
K1QSX5,K1QSX5_CRAGI,unreviewed,"Dynein heavy chain 3, axonemal",CGI_10004786,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2310,dynein complex [GO:0030286]; microtubule motor activity [GO:0003777]; microtubule-based movement [GO:0007018],EKC32025
