Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO),Ensembl_Genome_Transcript
K1RSH8,K1RSH8_CRAGI,unreviewed,von Willebrand factor D and EGF domain-containing protein,CGI_10009284,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2408,,EKC37466
K1QR91,K1QR91_CRAGI,unreviewed,Solute carrier family 22 member 6-A,CGI_10024190,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),505,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],EKC36263
K1QHG5,K1QHG5_CRAGI,unreviewed,Organic cation transporter protein,CGI_10024189,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),190,integral component of membrane [GO:0016021]; transmembrane transporter activity [GO:0022857],EKC36262
K1RPC5,K1RPC5_CRAGI,unreviewed,Regulation of nuclear pre-mRNA domain-containing protein 2,CGI_10024188,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),975,,EKC36261
K1R4W5,K1R4W5_CRAGI,unreviewed,Hexosyltransferase (EC 2.4.1.-),CGI_10024187,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),791,Golgi cisterna membrane [GO:0032580]; acetylgalactosaminyltransferase activity [GO:0008376],EKC36260
K1QYK7,K1QYK7_CRAGI,unreviewed,Glutathione S-transferase A,CGI_10024197,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),61,transferase activity [GO:0016740],EKC36269
K1R1R9,K1R1R9_CRAGI,unreviewed,Pre-mRNA-processing factor 6,CGI_10009282,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),836,"nucleus [GO:0005634]; mRNA splicing, via spliceosome [GO:0000398]",EKC37464
K1R579,K1R579_CRAGI,unreviewed,Uncharacterized protein,CGI_10028619,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),459,nucleic acid binding [GO:0003676],EKC40903
K1QVK1,K1QVK1_CRAGI,unreviewed,Ankyrin repeat domain-containing protein 46,CGI_10028618,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),179,,EKC40902
K1S0Y3,K1S0Y3_CRAGI,unreviewed,Uncharacterized protein,CGI_10028617,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),340,integral component of membrane [GO:0016021],EKC40901
K1S0Y7,K1S0Y7_CRAGI,unreviewed,Protein rogdi,CGI_10028623,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),766,integral component of membrane [GO:0016021],EKC40906
K1RHC7,K1RHC7_CRAGI,unreviewed,"28S ribosomal protein S22, mitochondrial",CGI_10028622,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),257,ribosome [GO:0005840],EKC40905
K1RB68,K1RB68_CRAGI,unreviewed,Uncharacterized protein,CGI_10028621,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),429,,EKC40904
K1RGW2,K1RGW2_CRAGI,unreviewed,"Serine/threonine-protein kinase PINK1, mitochondrial",CGI_10025899,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),600,ATP binding [GO:0005524]; protein kinase activity [GO:0004672],EKC33376
K1Q9F1,K1Q9F1_CRAGI,unreviewed,"Acyl-CoA synthetase family member 2, mitochondrial",CGI_10025900,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),268,catalytic activity [GO:0003824]; metabolic process [GO:0008152],EKC33377
K1QWM6,K1QWM6_CRAGI,unreviewed,Neural-cadherin,CGI_10025898,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),2658,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; calcium ion binding [GO:0005509]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156],EKC33375
K1PH06,K1PH06_CRAGI,unreviewed,Exosome complex exonuclease RRP40,CGI_10014647,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),236,exosome (RNase complex) [GO:0000178]; exonuclease activity [GO:0004527]; RNA binding [GO:0003723],EKC18159
K1P9S4,K1P9S4_CRAGI,unreviewed,"Iron-sulfur cluster assembly 1-like protein, mitochondrial",CGI_10014646,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),128,iron-sulfur cluster binding [GO:0051536]; structural molecule activity [GO:0005198]; protein maturation by iron-sulfur cluster transfer [GO:0097428],EKC18158
K1R5T5,K1R5T5_CRAGI,unreviewed,Neuronal acetylcholine receptor subunit alpha-6,CGI_10024901,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),414,integral component of membrane [GO:0016021]; extracellular ligand-gated ion channel activity [GO:0005230],EKC41058
K1QBF3,K1QBF3_CRAGI,unreviewed,Trpc4-associated protein,CGI_10007513,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),764,,EKC31288
K1QJE2,K1QJE2_CRAGI,unreviewed,Uncharacterized protein,CGI_10007514,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),263,retinoid binding [GO:0005501]; transporter activity [GO:0005215],EKC31289
K1RB30,K1RB30_CRAGI,unreviewed,Putative caffeoyl-CoA O-methyltransferase 1,CGI_10007503,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),265,O-methyltransferase activity [GO:0008171],EKC31281
K1QEQ0,K1QEQ0_CRAGI,unreviewed,X-linked retinitis pigmentosa GTPase regulator-interacting protein 1,CGI_10022270,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),177,,EKC32393
K1Q6L5,K1Q6L5_CRAGI,unreviewed,ATP-grasp domain-containing protein 1,CGI_10022269,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),989,ATP binding [GO:0005524]; ATPase activity [GO:0016887]; carnosine synthase activity [GO:0047730]; metal ion binding [GO:0046872]; carnosine biosynthetic process [GO:0035499],EKC32392
K1Q6L9,K1Q6L9_CRAGI,unreviewed,Chloride channel protein,CGI_10022274,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),762,integral component of membrane [GO:0016021]; voltage-gated chloride channel activity [GO:0005247],EKC32397
K1QMS7,K1QMS7_CRAGI,unreviewed,"Malonyl CoA-acyl carrier protein transacylase, mitochondrial",CGI_10022276,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),347,catalytic activity [GO:0003824]; metabolic process [GO:0008152],EKC32399
K1QS40,K1QS40_CRAGI,unreviewed,Cathepsin B,CGI_10027022,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),341,cysteine-type endopeptidase activity [GO:0004197]; regulation of catalytic activity [GO:0050790],EKC36483
K1RQ52,K1RQ52_CRAGI,unreviewed,Uncharacterized protein,CGI_10027026,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),312,,EKC36486
K1R5K3,K1R5K3_CRAGI,unreviewed,Uncharacterized protein,CGI_10027025,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),347,regulation of apoptotic process [GO:0042981],EKC36485
K1QZ88,K1QZ88_CRAGI,unreviewed,Serine/threonine-protein kinase RIO3,CGI_10027024,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),576,ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674],EKC36484
K1PNP8,K1PNP8_CRAGI,unreviewed,SPT2-like protein,CGI_10010985,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),679,,EKC23303
K1QZ93,K1QZ93_CRAGI,unreviewed,Transcription initiation factor TFIID subunit 6,CGI_10027030,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),637,"nucleus [GO:0005634]; protein heterodimerization activity [GO:0046982]; translation initiation factor activity [GO:0003743]; DNA-templated transcription, initiation [GO:0006352]; regulation of sequence-specific DNA binding transcription factor activity [GO:0051090]",EKC36489
K1QS48,K1QS48_CRAGI,unreviewed,Putative ATP-dependent DNA helicase HFM1,CGI_10027028,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1057,ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676],EKC36488
K1QP27,K1QP27_CRAGI,unreviewed,Uncharacterized protein,CGI_10010988,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),675,,EKC23306
K1PWA1,K1PWA1_CRAGI,unreviewed,Double-strand-break repair protein rad21-like protein,CGI_10010986,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),497,,EKC23304
K1Q357,K1Q357_CRAGI,unreviewed,"Putative cytochrome P450 12b2, mitochondrial",CGI_10010987,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),512,"heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]",EKC23305
K1Q359,K1Q359_CRAGI,unreviewed,Uncharacterized protein,CGI_10028568,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),167,,EKC30887
K1RA22,K1RA22_CRAGI,unreviewed,Neurocalcin,CGI_10028566,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),148,calcium ion binding [GO:0005509],EKC30886
K1QAA2,K1QAA2_CRAGI,unreviewed,Uncharacterized protein,CGI_10028569,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1412,integral component of membrane [GO:0016021],EKC30888
K1R3S8,K1R3S8_CRAGI,unreviewed,Uncharacterized protein C3orf59-like protein,CGI_10015866,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),635,zinc ion binding [GO:0008270],EKC28521
K1RFL4,K1RFL4_CRAGI,unreviewed,Glucose dehydrogenase [acceptor] (Fragment),CGI_10020528,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),172,"oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",EKC42504
K1QZJ5,K1QZJ5_CRAGI,unreviewed,Glucose dehydrogenase [acceptor],CGI_10020532,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),621,"integral component of membrane [GO:0016021]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",EKC42507
K1RD17,K1RD17_CRAGI,unreviewed,Fibropellin-3 (Fragment),CGI_10005786,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),573,integral component of membrane [GO:0016021]; calcium ion binding [GO:0005509]; G-protein coupled receptor activity [GO:0004930],EKC32021
K1RFM3,K1RFM3_CRAGI,unreviewed,Uncharacterized protein,CGI_10020534,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),119,,EKC42509
K1R9W4,K1R9W4_CRAGI,unreviewed,Uncharacterized protein,CGI_10020533,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),193,,EKC42508
K1PYE4,K1PYE4_CRAGI,unreviewed,Uncharacterized protein,CGI_10026321,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1713,extracellular space [GO:0005615]; regulation of autophagy [GO:0010506],EKC24079
K1Q5B2,K1Q5B2_CRAGI,unreviewed,Tyrosine aminotransferase,CGI_10026312,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),434,L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170]; aromatic amino acid family metabolic process [GO:0009072]; biosynthetic process [GO:0009058],EKC24070
K1PR57,K1PR57_CRAGI,unreviewed,Uncharacterized protein,CGI_10026315,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),498,integral component of membrane [GO:0016021],EKC24073
K1PJE6,K1PJE6_CRAGI,unreviewed,HEAT repeat-containing protein 7A,CGI_10026314,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),626,,EKC24072
K1Q5B4,K1Q5B4_CRAGI,unreviewed,Uncharacterized protein,CGI_10026317,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),277,,EKC24075
K1PJE7,K1PJE7_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10026319,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),156,,EKC24077
K1PPH8,K1PPH8_CRAGI,unreviewed,Cysteine-rich protein 1,CGI_10005388,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),78,metal ion binding [GO:0046872],EKC20769
K1QGN2,K1QGN2_CRAGI,unreviewed,Multimerin-1,CGI_10005419,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),348,,EKC20761
K1QGN6,K1QGN6_CRAGI,unreviewed,NmrA-like family domain-containing protein 1,CGI_10005399,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),344,,EKC20766
K1PDY2,K1PDY2_CRAGI,unreviewed,Bone morphogenetic protein 3,CGI_10007634,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),113,extracellular region [GO:0005576]; growth factor activity [GO:0008083],EKC19783
K1R4P4,K1R4P4_CRAGI,unreviewed,Tyrosine-protein kinase receptor (EC 2.7.10.1),CGI_10020838,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),5054,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation initiation factor activity [GO:0003743]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],EKC28906
K1PIL4,K1PIL4_CRAGI,unreviewed,Uncharacterized protein,CGI_10003926,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),174,,EKC21418
K1PC63,K1PC63_CRAGI,unreviewed,VWFA and cache domain-containing protein 1,CGI_10003954,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1385,integral component of membrane [GO:0016021],EKC21412
K1PY23,K1PY23_CRAGI,unreviewed,TBC1 domain family member 30 (Fragment),CGI_10003949,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),512,,EKC21415
K1PC66,K1PC66_CRAGI,unreviewed,Uncharacterized protein,CGI_10003925,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),112,,EKC21417
K1QUQ3,K1QUQ3_CRAGI,unreviewed,FGFR1 oncogene partner 2-like protein,CGI_10019688,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),233,,EKC25301
K1PMS2,K1PMS2_CRAGI,unreviewed,Ankyrin-1,CGI_10019689,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),830,,EKC25302
K1Q8W6,K1Q8W6_CRAGI,unreviewed,Uncharacterized protein,CGI_10013674,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),252,integral component of membrane [GO:0016021],EKC25305
K1QUQ8,K1QUQ8_CRAGI,unreviewed,Fibrinogen C domain-containing protein 1-A,CGI_10013675,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),74,,EKC25306
K1QKV1,K1QKV1_CRAGI,unreviewed,Cytochrome b-c1 complex subunit 6,CGI_10015438,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),96,"mitochondrial inner membrane [GO:0005743]; respiratory chain [GO:0070469]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]",EKC31749
K1Q1V4,K1Q1V4_CRAGI,unreviewed,Uncharacterized protein,CGI_10001421,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),138,,EKC22825
K1PFZ2,K1PFZ2_CRAGI,unreviewed,Ubiquitin carboxyl-terminal hydrolase 25,CGI_10001418,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),212,thiol-dependent ubiquitinyl hydrolase activity [GO:0036459]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511],EKC22827
K1Q1L1,K1Q1L1_CRAGI,unreviewed,Kinesin-associated protein 3,CGI_10023938,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),697,kinesin complex [GO:0005871]; kinesin binding [GO:0019894],EKC27813
K1QG47,K1QG47_CRAGI,unreviewed,Diaphanous-like protein 2,CGI_10023934,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),960,actin binding [GO:0003779]; Rho GTPase binding [GO:0017048]; actin filament polymerization [GO:0030041],EKC27810
K1R226,K1R226_CRAGI,unreviewed,Unc-80-like protein,CGI_10023941,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),3531,,EKC27816
K1PU44,K1PU44_CRAGI,unreviewed,Uncharacterized protein,CGI_10023942,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),307,,EKC27817
K1QG51,K1QG51_CRAGI,unreviewed,Uncharacterized protein,CGI_10023940,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1216,nucleic acid binding [GO:0003676],EKC27815
K1Q1L6,K1Q1L6_CRAGI,unreviewed,Transient receptor potential cation channel subfamily V member 6,CGI_10023943,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),824,integral component of membrane [GO:0016021]; ion channel activity [GO:0005216],EKC27818
K1R117,K1R117_CRAGI,unreviewed,Uncharacterized protein,CGI_10028360,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),195,,EKC37129
K1QI52,K1QI52_CRAGI,unreviewed,Uncharacterized protein,CGI_10004099,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),358,,EKC21326
K1PLH9,K1PLH9_CRAGI,unreviewed,Uncharacterized protein,CGI_10021496,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),277,,EKC24897
K1Q7S5,K1Q7S5_CRAGI,unreviewed,Uncharacterized protein,CGI_10021494,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),824,,EKC24895
K1PH04,K1PH04_CRAGI,unreviewed,Kelch-like ECH-associated protein 1,CGI_10014642,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),228,,EKC18154
K1RBR5,K1RBR5_CRAGI,unreviewed,Neuronal acetylcholine receptor subunit alpha-3,CGI_10024895,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),416,integral component of membrane [GO:0016021]; extracellular ligand-gated ion channel activity [GO:0005230],EKC41054
K1PUL9,K1PUL9_CRAGI,unreviewed,Putative hydrolase PNKD,CGI_10001872,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),306,hydroxyacylglutathione hydrolase activity [GO:0004416]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243],EKC22619
K1Q9R3,K1Q9R3_CRAGI,unreviewed,GEM-interacting protein,CGI_10014639,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1975,GTPase activator activity [GO:0005096]; signal transduction [GO:0007165],EKC18151
K1RHR2,K1RHR2_CRAGI,unreviewed,Uncharacterized protein,CGI_10024890,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),138,,EKC41050
K1PLN7,K1PLN7_CRAGI,unreviewed,Interferon-induced protein 44-like protein,CGI_10001869,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),469,GTP binding [GO:0005525],EKC22618
K1PG26,K1PG26_CRAGI,unreviewed,ETS-related transcription factor Elf-3,CGI_10000136,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),50,"nucleus [GO:0005634]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, sequence-specific DNA binding [GO:0003700]",EKC17839
K1P8J2,K1P8J2_CRAGI,unreviewed,G2/mitotic-specific cyclin-B3,CGI_10000137,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),138,nucleus [GO:0005634]; protein kinase binding [GO:0019901]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of G2/M transition of mitotic cell cycle [GO:0010389],EKC17838
K1PMW9,K1PMW9_CRAGI,unreviewed,"Glutamate receptor, ionotropic kainate 2",CGI_10000145,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),163,integral component of membrane [GO:0016021],EKC17830
K1PBX6,K1PBX6_CRAGI,unreviewed,Uncharacterized protein,CGI_10004127,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),202,,EKC21322
K1PZ56,K1PZ56_CRAGI,unreviewed,Uncharacterized protein,CGI_10025485,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),60,integral component of membrane [GO:0016021],EKC29477
