"","log2FoldChange","padj","Protein.names","Significance","Challenge"
"transcript:EKC41180",-21.1903608366258,0.0235840688867961,"Apoptosis 2 inhibitor","Significant","Bacteria"
"transcript:EKC24074",-1.00685570256114,0.838218945242725,"Baculoviral IAP repeat-containing protein 2","Non_significant","Bacteria"
"transcript:EKC38724",-0.2915813910158,0.999958613450093,"Baculoviral IAP repeat-containing protein 7","Non_significant","Bacteria"
"transcript:EKC42441",-8.98293214953442,0.0923113104685199,"Baculoviral IAP repeat-containing protein 7-B","Non_significant","Bacteria"
"transcript:EKC25493",-0.602007801786394,0.999958613450093,"Baculoviral IAP repeat-containing protein 7-B","Non_significant","Bacteria"
"transcript:EKC42449",-0.667546915193752,0.999958613450093,"Baculoviral IAP repeat-containing protein 7-A","Non_significant","Bacteria"
"transcript:EKC18369",-0.313884168832479,0.999958613450093,"Baculoviral IAP repeat-containing protein 3","Non_significant","Bacteria"
"transcript:EKC20239",0.0580536450077906,0.999958613450093,"Baculoviral IAP repeat-containing protein 6","Non_significant","Bacteria"
"transcript:EKC17690",1.21524265299854,0.999958613450093,"Putative inhibitor of apoptosis","Non_significant","Bacteria"
"transcript:EKC34022",-0.62395697509257,0.999958613450093,"Apoptosis 1 inhibitor","Non_significant","Bacteria"
"transcript:EKC26454",-0.102240206738576,0.999958613450093,"Putative apoptosis inhibitor ORF42","Non_significant","Bacteria"
"transcript:EKC42442",-0.748449163307406,0.963306266068392,"Apoptosis 2 inhibitor","Non_significant","Bacteria"
"transcript:EKC18368",-6.08222450291684,0.934329472428081,"Apoptosis 2 inhibitor","Non_significant","Bacteria"
"transcript:EKC41181",-0.249023614095142,0.999958613450093,"Apoptosis 1 inhibitor","Non_significant","Bacteria"
"transcript:EKC26950",-0.765640378083704,0.972746629808732,"Putative inhibitor of apoptosis","Non_significant","Bacteria"
"transcript:EKC40820",0.136985579382648,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC41832",-0.341288393673643,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC41613",-0.186634933711209,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC35292",1.52697231303928,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC36405",0.220639816947833,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC30713",0.243919051624998,0.999958613450093,"GTPase IMAP family member 7","Non_significant","Bacteria"
"transcript:EKC40465",0.336263439520175,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
"transcript:EKC42724",0.903937071315653,0.661648390549033,"GTPase IMAP family member 7","Non_significant","Bacteria"
"transcript:EKC38639",1.94948104848749,0.999958613450093,"GTPase IMAP family member 4","Non_significant","Bacteria"
