Entry,Entry name,Status,Protein names,Gene names,Organism,Length,Gene ontology (GO)
K1QXN5,K1QXN5_CRAGI,unreviewed,Uncharacterized protein,CGI_10024332,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1405,nucleic acid binding [GO:0003676]
K1RCQ4,K1RCQ4_CRAGI,unreviewed,IgGFc-binding protein,CGI_10018893,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1262,
K1QJB7,K1QJB7_CRAGI,unreviewed,Potassium voltage-gated channel protein eag,CGI_10003384,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1470,integral component of membrane [GO:0016021]; intracellular [GO:0005622]; phosphorelay sensor kinase activity [GO:0000155]; voltage-gated potassium channel activity [GO:0005249]
K1PVA6,K1PVA6_CRAGI,unreviewed,TIMELESS-interacting protein,CGI_10006529,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),440,nucleus [GO:0005634]; cell cycle [GO:0007049]; cellular response to DNA damage stimulus [GO:0006974]; replication fork protection [GO:0048478]
K1RGG7,K1RGG7_CRAGI,unreviewed,ATP-dependent DNA helicase Q4,CGI_10017389,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),883,ATP binding [GO:0005524]; helicase activity [GO:0004386]; nucleic acid binding [GO:0003676]
K1P3A0,K1P3A0_CRAGI,unreviewed,Uncharacterized protein,CGI_10014125,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),1624,
K1S0Y0,K1S0Y0_CRAGI,unreviewed,Major facilitator superfamily domain-containing protein 4,CGI_10028612,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),515,integral component of membrane [GO:0016021]; transmembrane transport [GO:0055085]
K1PE66,K1PE66_CRAGI,unreviewed,DNA repair protein complementing XP-C cells-like protein,CGI_10002688,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),703,nucleus [GO:0005634]; damaged DNA binding [GO:0003684]; nucleotide-excision repair [GO:0006289]
K1QAW5,K1QAW5_CRAGI,unreviewed,"Neuroligin-4, X-linked",CGI_10011612,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),861,integral component of membrane [GO:0016021]
K1PS72,K1PS72_CRAGI,unreviewed,Tripartite motif-containing protein 2,CGI_10003409,Crassostrea gigas (Pacific oyster) (Crassostrea angulata),600,intracellular [GO:0005622]; zinc ion binding [GO:0008270]
